번호;영어단어;테마;품사1;의미1;예시문1;품사2;의미2;예시문2;품사3;의미3;예시문3;새 테마
1220;motion;일상 및 여가 생활;명;운동, 동작;The motion of the waves fascinated the young child.;동;움직임을 보이다;Motion helps to 움직임을 보이다 resources efficiently.;;;;국제 및 지역
1221;humble;일상 및 여가 생활;형;겸손한, 비천한;His humble demeanor endeared him to everyone he met.;;;;;;;국제 및 지역
1222;bounce;일상 및 여가 생활;동;튀어 오르다, 깡충깡충 뛰다, (공이) 튀다;The children were delighted to bounce on the trampoline in the backyard.;;;;;;;국제 및 지역
1223;imprison;일상 및 여가 생활;동;투옥하다;The criminal was imprisoned for his role in the robbery.;;;;;;;국제 및 지역
1224;enlist;일상 및 여가 생활;동;모집하다;He decided to enlist in the army after graduating from high school.;;;;;;;국제 및 지역
1225;hygiene;일상 및 여가 생활;명;위생, 위생학;Good hygiene practices are essential for preventing the spread of disease.;;;;;;;국제 및 지역
1226;upcoming;음식과 요리;형;다가오는;The upcoming conference promises to be a great opportunity for networking.;;;;;;;국제 및 지역
1227;trace;일상 및 여가 생활;명;자취, 흔적;There was no trace of the missing hikers in the dense forest.;동;추적하다, 밝혀내다;Trace helps to 추적하다 resources efficiently.;;;;국제 및 지역
1228;pulse;건강과 의료;명;맥박;The doctor checked the patient's pulse to assess his condition.;;;;;;;국제 및 지역
1229;controversy;음식과 요리;명;논쟁, 언쟁, 논란;The controversial decision sparked heated controversy among the members of the committee.;;;;;;;국제 및 지역
1230;locate;일상 및 여가 생활;동;(장소를) 찾아내다, -에 위치하다;After hours of searching, they finally managed to locate the missing keys.;;;;;;;국제 및 지역
1231;patent;일상 및 여가 생활;명;특허;The inventor applied for a patent to protect his new invention.;형;특허를 받은;This solution is particularly patent in its approach.;동;특허권을 얻다;Consultants help to patent resources efficiently.;국제 및 지역
1232;lyric;일상 및 여가 생활;명;가사;The singer wrote the lyrics for her new song.;;;;;;;국제 및 지역
1233;convenience;일상 및 여가 생활;명;편의, 편리, 편의시설;The hotel boasted many conveniences for its guests including a swimming pool and gym.;;;;;;;국제 및 지역
1234;rush;일상 및 여가 생활;동;돌진하다, 급하게 가다;They had to rush to catch the last train home.;명;돌진, 혼잡;Each rush has its unique characteristics.;;;;국제 및 지역
1235;carbon;기타;명;탄소;Carbon dioxide is a greenhouse gas that contributes to climate change.;;;;;;;국제 및 지역
1236;contaminate;일상 및 여가 생활;동;오염시키다, 더럽히다;Industrial waste has contaminated the river making it unsafe for swimming.;;;;;;;국제 및 지역
1237;external;일상 및 여가 생활;형;외부의;The company hired an external consultant to review its marketing strategy.;;;;;;;국제 및 지역
1238;herd;일상 및 여가 생활;명;떼, 무리;The herd of cattle grazed peacefully in the field.;동;떼를 짓다;Herd helps to herd resources efficiently.;;;;국제 및 지역
1239;allocate;교육과 학습;동;할당하다, 배분하다;The government plans to allocate more funds for education in the next budget.;;;;;;;국제 및 지역
1240;gorgeous;일상 및 여가 생활;형;아주 멋진, 화려한;The bride looked gorgeous in her wedding gown.;;;;;;;국제 및 지역
1241;confess;일상 및 여가 생활;동;고백하다;He finally found the courage to confess his love to her.;;;;;;;국제 및 지역
1242;subjective;일상 및 여가 생활;형;주관적인;The decision to promote him was based on subjective criteria rather than objective performance metrics.;;;;;;;국제 및 지역
1243;hell;일상 및 여가 생활;명;지옥;The condemned man believed he would spend eternity in hell for his sins.;;;;;;;국제 및 지역
1244;acknowledge;일상 및 여가 생활;동;인정하다;She acknowledged her mistake and apologized for it.;;;;;;;인간과 사회
1245;accord;문화와 예술;명;일치, 합의;The two parties reached an accord after weeks of negotiations.;;;;;;;국제 및 지역
1246;immense;음식과 요리;형;엄청난;The artist was known for his immense talent and creativity.;;;;;;;국제 및 지역
1247;extract;일상 및 여가 생활;동;추출하다,;The dentist had to extract the decayed tooth to prevent further infection.;명;추출물;Each extract has its unique characteristics.;;;;국제 및 지역
1248;sewage;일상 및 여가 생활;명;하수, 오물;The city installed a new sewage system to prevent pollution of the river.;;;;;;;국제 및 지역
1249;reconciliation;음식과 요리;명;화해;The two countries signed a treaty of reconciliation to end years of conflict.;;;;;;;국제 및 지역
1250;amid;일상 및 여가 생활;전;~중에;Amid the chaos of the city, she found a moment of peace.;;;;;;;국제 및 지역
1251;warrant;일상 및 여가 생활;명;보증서, 영장, 정당한 이유;The police obtained a search warrant to enter the suspect's house.;;;;;;;국제 및 지역
1252;complement;음식과 요리;동;보완하다;Her skills complemented his perfectly making them a great team.;;;;;;;국제 및 지역
1253;ceramic;문화와 예술;명;도자기, 요업;The museum had a large collection of ancient ceramic artifacts.;;;;;;;국제 및 지역
1254;license;경제, 금융 및 산업;명;면허, 인가;He applied for a license to operate his own business.;동;면허를 주다, 허가하다;The agency license examinee after few process.;;;;국제 및 지역
1255;emerge;일상 및 여가 생활;동;나타나다;The sun emerged from behind the clouds bathing the landscape in golden light.;;;;;;;국제 및 지역
1256;halt;일상 및 여가 생활;동;정지시키다;The construction work came to a halt due to lack of funding.;명;정지, 멈춤;Each halt has its unique characteristics.;;;;국제 및 지역
1257;ivory;문화와 예술;명;상아, 상아색;The artist carved intricate designs into the ivory tusk.;;;;;;;국제 및 지역
1258;ponder;일상 및 여가 생활;동;곰곰이 생각하다, 심사숙고하다;She sat by the window pondering the meaning of life.;;;;;;;국제 및 지역
1259;lottery;일상 및 여가 생활;명;복권, 추첨;He won the lottery and became an instant millionaire.;;;;;;;국제 및 지역
1260;stroke;일상 및 여가 생활;명;타격, 뇌졸증;The stroke of midnight signaled the beginning of the new year.;;;;;;;국제 및 지역
1261;burglar;일상 및 여가 생활;명;강도;The burglar was caught red-handed trying to break into the house.;;;;;;;국제 및 지역
1262;blame;일상 및 여가 생활;동;비난하다, ~을 탓하다;She couldn't help but blame herself for the accident.;명;비난;Each blame has its unique characteristics.;;;;국제 및 지역
1263;transplant;일상 및 여가 생활;동;이식하다;She received a kidney transplant from her brother.;;;;;;;국제 및 지역
1264;cluster;일상 및 여가 생활;명;무리;A cluster of stars twinkled in the night sky.;;;;;;;국제 및 지역
1265;borrow;경제, 금융 및 산업;동;빌리다;He had to borrow money from his parents to pay for college tuition.;;;;;;;국제 및 지역
1266;derive;일상 및 여가 생활;동;끌어내다, ~에서 비롯되다;The word 'gourmet' is derived from the French word 'groumette'.;;;;;;;국제 및 지역
1267;plague;일상 및 여가 생활;명;전염병;The plague decimated the population of Europe during the Middle Ages.;동;괴롭히다;They plague a student consistently.;;;;인간과 사회
1268;certificate;스포츠;명;증명서;She proudly displayed her certificate of achievement on the wall.;;;;;;;국제 및 지역
1269;deluxe;일상 및 여가 생활;형;호화로운, 고급의;They booked a deluxe suite for their honeymoon.;;;;;;;국제 및 지역
1270;convey;일상 및 여가 생활;동;나르다,전달하다, (생각, 감정을) 전하다;She used body language to convey her feelings when words failed her.;;;;;;;국제 및 지역
1271;depth;일상 및 여가 생활;명;깊이;The depth of the ocean is still largely unexplored.;;;;;;;국제 및 지역
1272;evaporate;일상 및 여가 생활;동;증발하다;The puddle of water evaporated quickly in the hot sun.;;;;;;;국제 및 지역
1273;lame;일상 및 여가 생활;형;절름발이의, 설득력이 없는;The excuse he gave for being late was pretty lame.;;;;;;;국제 및 지역
1274;conduct;스포츠;동;실시하다, 수행하다, 행동하다;The conductor raised his baton and the orchestra began to play.;명;행위;Each conduct has its unique characteristics.;;;;국제 및 지역
1275;sour;일상 및 여가 생활;형;(맛이)신;The lemonade tasted sour because it had too much sugar in it.;;;;;;;국제 및 지역
1276;repetitive;기타;형;반복성의;The repetitive nature of the job soon became tedious.;;;;;;;국제 및 지역
1277;oppress;일상 및 여가 생활;동;억압하다, 탄압하다;The dictator's regime oppressed its citizens and denied them basic freedoms.;;;;;;;국제 및 지역
1278;leftover;일상 및 여가 생활;명;남은 음식, 잔재;She packed up the leftover food to take home after the party.;;;;;;;국제 및 지역
1279;embrace;일상 및 여가 생활;동;포옹하다, 껴안다, 수용하다;He opened his arms to embrace his long-lost friend.;;;;;;;국제 및 지역
1280;blade;일상 및 여가 생활;명;칼날;He sharpened the blade of the knife before starting to cook.;;;;;;;국제 및 지역
1281;abundant;일상 및 여가 생활;형;풍부한;The forest was abundant with wildlife and plant species.;;;;;;;국제 및 지역
1282;duplicate;일상 및 여가 생활;형;똑같은;She made a duplicate copy of the document for her records.;동;복사하다;Duplicate helps to 복사하다 resources efficiently.;명;사본;Each duplicate has its unique characteristics.;국제 및 지역
1283;remind;일상 및 여가 생활;동;상기시키다, 생각나게 하다;The old photograph reminded him of his childhood spent by the lake.;;;;;;;국제 및 지역
1284;altitude;일상 및 여가 생활;명;고도;The airplane ascended to a cruising altitude of 35,000 feet.;;;;;;;국제 및 지역
1285;glimpse;일상 및 여가 생활;동;흘끗 보다;She caught a glimpse of him through the crowd before he disappeared.;명;흘끗 봄;Each glimpse has its unique characteristics.;;;;국제 및 지역
1286;blend;음식과 요리;동;섞다;The chef carefully blended the ingredients to create a delicious sauce.;;;;;;;국제 및 지역
1287;swell;일상 및 여가 생활;동;부풀다,;The river began to swell after days of heavy rainfall.;명;팽창;Each swell has its unique characteristics.;;;;국제 및 지역
1288;grief;음식과 요리;명;비탄, 큰 슬픔;She was overcome with grief when she heard the news of her father's death.;;;;;;;국제 및 지역
1289;beverage;정치, 법률 및 사회;명;음료수;The café offered a wide selection of hot and cold beverages.;;;;;;;국제 및 지역
1290;warrior;일상 및 여가 생활;명;전사, 용사;The ancient warrior fought bravely in battle.;;;;;;;국제 및 지역
1291;earn;일상 및 여가 생활;동;(평판을) 얻다, 벌다;He worked hard to earn the respect of his colleagues.;;;;;;;국제 및 지역
1292;slice;문화와 예술;명;(얇게 썬)조각;She cut a slice of cake for each of the guests at the party.;동;얇게 썰다;Slice helps to 얇게 썰다 resources efficiently.;;;;국제 및 지역
1293;exotic;일상 및 여가 생활;형;이국적인;They sampled exotic dishes from around the world during their vacation.;;;;;;;국제 및 지역
1294;arrogant;일상 및 여가 생활;형;거만한, 건방진;His arrogant behavior alienated him from his coworkers.;;;;;;;국제 및 지역
1295;vanish;일상 및 여가 생활;동;사라지다;The magician made the rabbit vanish into thin air.;;;;;;;국제 및 지역
1296;rational;일상 및 여가 생활;형;이성적인, 합리적인;She approached the problem in a rational manner, weighing the pros and cons before making a decision.;;;;;;;국제 및 지역
1297;predominant;문화와 예술;형;우세한, 두드러진;The dominant color in the painting was blue.;;;;;;;국제 및 지역
1298;cozy;일상 및 여가 생활;형;안락한, 아늑한;The cabin was small but cozy with a fireplace and comfortable chairs.;;;;;;;국제 및 지역
1299;broker;일상 및 여가 생활;명;중개인, 브로커;She hired a broker to help her find the perfect home.;동;중개하다;Broker helps to 중개하다 resources efficiently.;;;;국제 및 지역
1300;auction;문화와 예술;명;경매;The painting was sold at auction for a record price.;동;경매로 팔다;Auction helps to 경매로 팔다 resources efficiently.;;;;국제 및 지역
1301;obsess;일상 및 여가 생활;동;집착하다, 괴롭히다;She would obsess over every detail of her work often neglecting other aspects of her life.;;;;;;;국제 및 지역
1302;feed;일상 및 여가 생활;동;먹이를 주다, 기를 채우다;She fed the stray cat with some leftover fish.;;;;;;;국제 및 지역
1303;outbreak;일상 및 여가 생활;명;발발, 창궐;The sudden outbreak of violence took everyone by surprise.;;;;;;;국제 및 지역
1304;invent;일상 및 여가 생활;동;창조하다;She had to invent a new excuse for being late to work.;;;;;;;국제 및 지역
1305;pioneer;일상 및 여가 생활;명;개척자;Marie Curie was a pioneer in the field of radioactivity.;동;개척하다;They decided to pioneer a new approach to solving the problem.;;;;국제 및 지역
1306;assert;일상 및 여가 생활;동;주장하다;She had to assert her authority in order to maintain control of the situation.;;;;;;;국제 및 지역
1307;undo;일상 및 여가 생활;동;되돌리다;It's difficult to undo the damage caused by years of neglect.;;;;;;;국제 및 지역
1308;bouquet;일상 및 여가 생활;명;꽃다발;He presented her with a beautiful bouquet of flowers.;;;;;;;국제 및 지역
1309;elaborate;일상 및 여가 생활;형;정교한;She gave an elaborate explanation of her theory.;;;;;;;국제 및 지역
1310;toss;일상 및 여가 생활;동;던지다;He tossed the ball to his friend.;;;;;;;국제 및 지역
1311;retain;일상 및 여가 생활;동;보유하다;It's important to retain the knowledge gained from this experience.;;;;;;;국제 및 지역
1312;radioactive;일상 및 여가 생활;형;방사능의;The area was deemed unsafe due to its radioactive contamination.;;;;;;;국제 및 지역
1313;buildup;일상 및 여가 생활;명;축적;There was a buildup of tension between the two countries.;;;;;;;국제 및 지역
1314;machinery;일상 및 여가 생활;명;기계;The factory invested in new machinery to increase production efficiency.;;;;;;;국제 및 지역
1315;passerby;일상 및 여가 생활;명;통행인;The passerby offered to help carry the heavy load.;;;;;;;국제 및 지역
1316;auditorium;일상 및 여가 생활;명;강당;The auditorium was filled with eager listeners.;;;;;;;국제 및 지역
1317;lay;일상 및 여가 생활;동;놓다;He lay the book on the table and walked away.;;;;;;;국제 및 지역
1318;neglect;일상 및 여가 생활;동;소홀히하다;The landlord was accused of neglecting the maintenance of the property.;;;;;;;국제 및 지역
1319;feedback;일상 및 여가 생활;명;피드백;She eagerly awaited feedback on her latest project.;;;;;;;국제 및 지역
1320;promote;일상 및 여가 생활;동;촉진하다;The company launched a new advertising campaign to promote its products.;;;;;;;국제 및 지역
1321;impair;일상 및 여가 생활;동;손상시키다;His drinking habit began to impair his ability to function at work.;;;;;;;국제 및 지역
1322;metaphor;일상 및 여가 생활;명;은유;The author used a metaphor to describe the complexity of human emotions.;;;;;;;국제 및 지역
1323;dispense;일상 및 여가 생활;동;분배하다;The vending machine dispensed a can of soda when the button was pressed.;;;;;;;국제 및 지역
1324;bruise;일상 및 여가 생활;명;멍;She had a bruise on her arm from where she bumped into the table.;;;;;;;국제 및 지역
1325;attorney;일상 및 여가 생활;명;변호사;The attorney presented her case to the jury.;;;;;;;국제 및 지역
1326;framework;일상 및 여가 생활;명;뼈대;The framework of the building was constructed from steel beams.;;;;;;;국제 및 지역
1327;heredity;스포츠;명;유전;Heredity plays a significant role in determining one's physical traits.;;;;;;;국제 및 지역
1328;naive;일상 및 여가 생활;형;순진한;His naive belief in the goodness of people often led to disappointment.;;;;;;;국제 및 지역
1329;shed;일상 및 여가 생활;동;흘리다;The tree shed its leaves in the autumn.;;;;;;;국제 및 지역
1330;metropolitan;일상 및 여가 생활;형;대도시의;She enjoyed the hustle and bustle of metropolitan life.;;;;;;;국제 및 지역
1331;shield;일상 및 여가 생활;명;방패;The knight raised his shield to protect himself from the enemy's arrows.;;;;;;;국제 및 지역
1332;induce;일상 및 여가 생활;동;유도하다;The advertisement was designed to induce consumers to purchase the product.;;;;;;;국제 및 지역
1333;bazaar;일상 및 여가 생활;명;장터;She enjoyed browsing the stalls at the local bazaar.;;;;;;;국제 및 지역
1334;expel;일상 및 여가 생활;동;추방하다;The student was expelled from school for his disruptive behavior.;;;;;;;국제 및 지역
1335;plow;일상 및 여가 생활;동;쟁기질하다;The farmer used a plow to prepare the soil for planting.;;;;;;;국제 및 지역
1336;prolong;문화와 예술;동;연장하다;The negotiations were prolonged due to disagreements between the two parties.;;;;;;;국제 및 지역
1337;fluent;일상 및 여가 생활;형;유창한;She was fluent in three languages.;;;;;;;국제 및 지역
1338;margin;일상 및 여가 생활;명;여백;She wrote her notes in the margins of the textbook.;;;;;;;국제 및 지역
1339;ecology;교육과 학습;명;생태학;The study of ecology examines the relationships between organisms and their environments.;;;;;;;국제 및 지역
1340;interior;일상 및 여가 생활;명;실내;The interior of the house was decorated in a modern style.;;;;;;;국제 및 지역
1341;ornament;일상 및 여가 생활;명;장식품;The Christmas tree was adorned with ornaments and lights.;;;;;;;국제 및 지역
1342;separate;일상 및 여가 생활;동;분리하다;He used a knife to separate the pieces of cake.;;;;;;;국제 및 지역
1343;ripe;일상 및 여가 생활;형;익은;The fruit is ripe and ready to be picked.;;;;;;;국제 및 지역
1344;vibrate;일상 및 여가 생활;동;진동하다;The phone vibrated in her pocket signaling a new message.;;;;;;;국제 및 지역
1345;urgent;일상 및 여가 생활;형;긴급한;He received an urgent call and had to leave immediately.;;;;;;;국제 및 지역
1346;speculate;정치, 법률 및 사회;동;추측하다;They speculated about the outcome of the election.;;;;;;;국제 및 지역
1347;epidemic;정치, 법률 및 사회;명;전염병;The government declared a state of emergency due to the epidemic.;;;;;;;국제 및 지역
1348;precede;일상 및 여가 생활;동;앞서다;The main course was preceded by a salad.;;;;;;;국제 및 지역
1349;breathtaking;음식과 요리;형;아름다운;The view from the mountaintop was breathtaking.;;;;;;;국제 및 지역
1350;portfolio;일상 및 여가 생활;명;포트폴리오;She presented her portfolio to the potential employer during the interview.;;;;;;;국제 및 지역
1351;beware;일상 및 여가 생활;동;조심하다;Beware of the dog sign was posted on the gate.;;;;;;;국제 및 지역
1352;handcuff;일상 및 여가 생활;명;수갑;The criminal was handcuffed and taken into custody.;;;;;;;국제 및 지역
1353;overturn;일상 및 여가 생활;동;전복시키다;The storm overturned several trees in the park.;;;;;;;국제 및 지역
1354;pregnant;일상 및 여가 생활;형;임신한;She announced that she was pregnant with her first child.;;;;;;;국제 및 지역
1355;intelligence;문화와 예술;명;지능;The artificial intelligence system was designed to analyze large amounts of data.;;;;;;;국제 및 지역
1356;adapt;기타;동;적응하다;She had to adapt quickly to the new working environment.;;;;;;;국제 및 지역
1357;settle;일상 및 여가 생활;동;정착하다;After years of traveling, she decided to settle down in a small town.;;;;;;;국제 및 지역
1358;assassinate;일상 및 여가 생활;동;암살하다;The political leader was assassinated by a lone gunman.;;;;;;;국제 및 지역
1359;vapor;일상 및 여가 생활;명;증기;The cold air turned the water into vapor as it evaporated.;;;;;;;국제 및 지역
1360;tuition;일상 및 여가 생활;명;교육;She paid her tuition fees for the semester.;;;;;;;국제 및 지역
1361;literature;일상 및 여가 생활;명;문학;She studied English literature at university.;;;;;;;국제 및 지역
1362;loop;일상 및 여가 생활;명;루프;She sewed a loop onto the back of the dress for the button.;;;;;;;국제 및 지역
1363;quote;일상 및 여가 생활;동;인용하다;She quoted Shakespeare in her graduation speech.;;;;;;;국제 및 지역
1364;inhale;일상 및 여가 생활;동;들이쉬다;He inhaled deeply and closed his eyes.;;;;;;;국제 및 지역
1365;prospect;일상 및 여가 생활;명;전망;The prospect of a promotion motivated him to work harder.;;;;;;;국제 및 지역
1366;anchor;일상 및 여가 생활;명;앵커;The ship dropped anchor in the harbor.;;;;;;;국제 및 지역
1367;reference;일상 및 여가 생활;명;참고;She included a list of references with her job application.;;;;;;;국제 및 지역
1368;compound;과학과 기술;명;화합물;The compound was used in various experiments in the laboratory.;형;복합의;This solution is particularly compound in its approach.;;;;국제 및 지역
1369;withstand;일상 및 여가 생활;동;견디다;The bridge was designed to withstand strong winds and heavy rain.;;;;;;;국제 및 지역
1370;implement;교육과 학습;명;도구;The teacher used various implements to demonstrate the experiment to the class.;;;;;;;국제 및 지역
1371;anonymous;일상 및 여가 생활;형;익명의;She received an anonymous gift in the mail.;;;;;;;국제 및 지역
1372;collide;일상 및 여가 생활;동;충돌하다;The two cars collided at the intersection.;;;;;;;국제 및 지역
1373;memorial;일상 및 여가 생활;명;기념물;They visited the war memorial to pay their respects to the fallen soldiers.;;;;;;;국제 및 지역
1374;vacant;문화와 예술;형;빈;The apartment had been vacant for months before they moved in.;;;;;;;국제 및 지역
1375;technical;일상 및 여가 생활;형;기술적인;She lacked the technical skills required for the job.;;;;;;;국제 및 지역
1376;summon;음식과 요리;동;소환하다;The wizard summoned a magical creature to help him in battle.;;;;;;;국제 및 지역
1377;orchard;일상 및 여가 생활;명;과수원;They went apple picking in the orchard.;;;;;;;국제 및 지역
1378;proportion;일상 및 여가 생활;명;비율;The proportion of students who passed the exam was higher than expected.;;;;;;;국제 및 지역
1379;antibiotic;음식과 요리;명;항생제;She was prescribed antibiotics to treat the infection.;;;;;;;국제 및 지역
1380;overtake;일상 및 여가 생활;동;앞지르다;He overtook the other runners and won the race.;;;;;;;국제 및 지역
1381;resemble;일상 및 여가 생활;동;닮다;She closely resembled her mother in appearance.;;;;;;;국제 및 지역
1382;wander;기타;동;헤매다;They wandered through the forest, enjoying the beauty of nature.;;;;;;;국제 및 지역
1383;compassion;일상 및 여가 생활;명;동정심;She showed compassion for the homeless man by giving him some food.;;;;;;;국제 및 지역
1384;preoccupation;기타;명;몰두;Her preoccupation with work often left little time for socializing.;;;;;;;국제 및 지역
1385;paste;일상 및 여가 생활;동;붙이다;She pasted the picture onto the page of her scrapbook.;;;;;;;국제 및 지역
1386;provoke;일상 및 여가 생활;동;자극하다;His comments provoked anger among the other members of the group.;;;;;;;국제 및 지역
1387;wicked;일상 및 여가 생활;형;악랄한;The villain in the story was depicted as a wicked sorcerer.;;;;;;;국제 및 지역
1388;sprain;스포츠;명;삐다;He suffered a sprain in his ankle while playing basketball.;;;;;;;국제 및 지역
1389;propaganda;정치, 법률 및 사회;명;선전;The government used propaganda to sway public opinion.;;;;;;;국제 및 지역
1390;consistent;일상 및 여가 생활;형;일관된;His performance on the field was consistent throughout the season.;;;;;;;국제 및 지역
1391;disrupt;일상 및 여가 생활;동;방해하다;The loud noise from the construction site disrupted their concentration.;;;;;;;국제 및 지역
1392;solitary;일상 및 여가 생활;형;고독한;He led a solitary life in the mountains, away from civilization.;;;;;;;국제 및 지역
1393;bury;일상 및 여가 생활;동;묻다;They buried the treasure in the backyard and drew a map to remember its location.;;;;;;;국제 및 지역
1394;rust;일상 및 여가 생활;명;녹;The old car had patches of rust on its exterior.;동;녹슬다;The metal railing had begun to rust due to exposure to the elements.;;;;국제 및 지역
1395;discuss;일상 및 여가 생활;동;논의하다;They sat down to discuss the terms of the agreement.;;;;;;;국제 및 지역
1396;referee;일상 및 여가 생활;명;심판;The referee blew the whistle to signal the end of the game.;;;;;;;국제 및 지역
1397;sector;과학과 기술;명;부문;The technology sector has seen rapid growth in recent years.;;;;;;;인간과 사회
1398;boost;정치, 법률 및 사회;명;증가;The government implemented policies to boost economic growth.;;;;;;;국제 및 지역
1399;gymnastics;일상 및 여가 생활;명;체조;She trained for hours every day to improve her gymnastics skills.;;;;;;;국제 및 지역
1400;gross;문화와 예술;형;총;The company reported a gross profit of $1 million for the quarter.;;;;;;;국제 및 지역
1401;last;일상 및 여가 생활;형;마지막;The last train to the city leaves at midnight.;;;;;;;국제 및 지역
1402;tariff;정치, 법률 및 사회;명;관세;The government imposed tariffs on imported goods to protect domestic industries.;;;;;;;국제 및 지역
1403;beloved;일상 및 여가 생활;형;사랑하는;She was reunited with her beloved pet after it went missing for a week.;;;;;;;국제 및 지역
1404;lyric;일상 및 여가 생활;명;가사;She wrote the lyrics to the song herself.;;;;;;;국제 및 지역
1405;yeast;일상 및 여가 생활;명;효모;The baker used yeast to make the bread rise.;;;;;;;국제 및 지역
1406;skyscraper;일상 및 여가 생활;명;고층 건물;The skyline of the city was dominated by skyscrapers.;;;;;;;국제 및 지역
1407;inquire;음악과 엔터테인먼트;동;문의하다;She inquired about the availability of tickets for the concert.;;;;;;;국제 및 지역
1408;spade;일상 및 여가 생활;명;삽;He used a spade to dig a hole in the garden.;;;;;;;국제 및 지역
1409;vacuum;일상 및 여가 생활;명;진공;She cleaned the carpet with a vacuum cleaner.;;;;;;;국제 및 지역
1410;migrate;기타;동;이주하다;The birds migrate to warmer climates in the winter.;;;;;;;국제 및 지역
1411;spectacle;스포츠;명;광경;The fireworks display was a spectacular spectacle.;;;;;;;국제 및 지역
1412;surplus;일상 및 여가 생활;명;초과;The surplus of goods led to a decrease in prices.;;;;;;;국제 및 지역
1413;simulate;과학과 기술;동;모의실험하다;The scientists used computer models to simulate the effects of climate change.;;;;;;;국제 및 지역
1414;integration;과학과 기술;명;통합;The integration of technology into everyday life has transformed society.;;;;;;;국제 및 지역
1415;hypothesis;과학과 기술;명;가설;The scientist proposed a new hypothesis to explain the results of the experiment.;;;;;;;국제 및 지역
1416;affirm;일상 및 여가 생활;동;확인하다;She affirmed her commitment to the project.;;;;;;;국제 및 지역
1417;fortress;일상 및 여가 생활;명;요새;The old fortress had stood for centuries.;;;;;;;국제 및 지역
1418;reed;일상 및 여가 생활;명;갈대;The wind rustled through the reeds by the riverbank.;;;;;;;국제 및 지역
1419;cue;일상 및 여가 생활;명;신호;The actor waited for his cue to enter the stage.;;;;;;;국제 및 지역
1420;mole;일상 및 여가 생활;명;점;She had a mole on her cheek.;;;;;;;국제 및 지역
1421;divide;일상 및 여가 생활;동;나누다;The river divided the city in two.;;;;;;;국제 및 지역
1422;inborn;음악과 엔터테인먼트;형;선천적인;Her talent for music seemed to be inborn.;;;;;;;국제 및 지역
1423;overlap;일상 및 여가 생활;동;겹치다;The schedules of the two events overlapped causing some attendees to miss out on one or the other.;;;;;;;국제 및 지역
1424;fatigue;일상 및 여가 생활;명;피로;She felt a deep sense of fatigue after working long hours.;;;;;;;국제 및 지역
1425;clone;일상 및 여가 생활;명;복제;The scientist successfully cloned the sheep.;;;;;;;국제 및 지역
1426;peel;일상 및 여가 생활;동;껍질을 벗기다;She peeled an orange and offered a slice to her friend.;;;;;;;국제 및 지역
1427;ease;일상 및 여가 생활;명;편안함;The massage therapist helped to ease the tension in her muscles.;;;;;;;국제 및 지역
1428;overcome;일상 및 여가 생활;동;극복하다;She had to overcome many obstacles to achieve her goals.;;;;;;;국제 및 지역
1429;fund;일상 및 여가 생활;명;자금;The charity received a large fund from anonymous donors.;;;;;;;국제 및 지역
1430;bias;교육과 학습;명;편견;The study aimed to investigate the effects of bias on decision-making.;;;;;;;국제 및 지역
1431;vaccine;일상 및 여가 생활;명;백신;The vaccine was developed to prevent the spread of the disease.;;;;;;;국제 및 지역
1432;tread;일상 및 여가 생활;동;밟다;He carefully treaded through the muddy path.;;;;;;;국제 및 지역
1433;vomit;음식과 요리;명;구토;The dog vomited after eating something from the garbage.;;;;;;;국제 및 지역
1434;prophecy;음식과 요리;명;예언;The prophecy foretold of a great disaster that would befall the kingdom.;;;;;;;국제 및 지역
1435;correspond;일상 및 여가 생활;동;일치하다;The evidence did not correspond with the witness's testimony.;;;;;;;국제 및 지역
1436;cling;일상 및 여가 생활;동;달라붙다;The wet clothes clung to her body.;;;;;;;국제 및 지역
1437;mutation;일상 및 여가 생활;명;돌연변이;The mutation in the gene caused the plant to develop unusual characteristics.;;;;;;;국제 및 지역
1438;obscure;일상 및 여가 생활;형;애매한;The meaning of the poem was obscure and open to interpretation.;;;;;;;국제 및 지역
1439;instinct;일상 및 여가 생활;명;본능;Her instinct told her that something was wrong.;;;;;;;국제 및 지역
1440;repel;일상 및 여가 생활;동;물리치다;The strong smell of the repellent repelled mosquitoes.;;;;;;;국제 및 지역
1441;exhaust;일상 및 여가 생활;동;다 써버리다;She was exhausted after running a marathon.;;;;;;;국제 및 지역
1442;artisan;문화와 예술;명;장인;The artisan carefully crafted each piece of furniture by hand.;;;;;;;국제 및 지역
1443;territory;일상 및 여가 생활;명;영토;The two countries disputed the ownership of the territory along the border.;;;;;;;국제 및 지역
1444;ambush;일상 및 여가 생활;명;매복;The soldiers lay in wait; planning to ambush the enemy convoy.;동;매복하다;The rebels ambushed the convoy as it passed through the narrow canyon.;;;국제 및 지역
1445;meditation;일상 및 여가 생활;명;명상;She found peace and clarity through daily meditation.;;;;;;;국제 및 지역
1446;invoke;일상 및 여가 생활;동;호출하다;She invoked the name of the ancient gods in her prayers.;;;;;;;국제 및 지역
1447;foliage;일상 및 여가 생활;명;잎;The trees were covered in lush green foliage.;;;;;;;국제 및 지역
1448;exhale;음식과 요리;동;내쉬다;He took a deep breath and slowly exhaled.;;;;;;;국제 및 지역
1449;infection;음식과 요리;명;감염;She was treated for a bacterial infection.;;;;;;;국제 및 지역
1450;patrol;일상 및 여가 생활;동;순찰하다;The security guard patrolled the building to ensure its safety.;;;;;;;국제 및 지역
